title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
Anywhere;Passenger;folk-pop;2016;105;64;59;-6;9;81;216;10;3;50
Geek in the Pink;Jason Mraz;acoustic pop;2005;92;75;67;-4;4;90;236;37;8;50
Come Home;OneRepublic;dance pop;2007;75;16;52;-12;10;16;262;95;3;50
Heavy;Anne-Marie;dance pop;2017;133;58;46;-5;11;50;173;28;8;50
Reality;Lost Frequencies;belgian edm;2016;122;64;73;-7;8;53;158;2;4;50
Angels;Robbie Williams;europop;1999;150;59;44;-7;10;25;266;15;3;50
"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack";José Feliciano;latin pop;2001;129;47;32;-8;22;19;284;52;5;50
King of Sorrow;Sade;british soul;2000;82;42;72;-10;7;38;293;38;4;50
Can I Get Your Number;Anne-Marie;dance pop;2018;103;83;72;-5;16;55;200;13;5;50
We All Fall In Love Sometimes;Coldplay;permanent wave;2018;91;8;37;-16;12;15;240;97;3;50
Номер 1;Artik & Asti;russian dance pop;2017;125;90;69;-7;14;66;179;26;5;50
Anywhere;Passenger;folk-pop;2016;105;64;59;-6;9;81;216;10;3;50
Geek in the Pink;Jason Mraz;acoustic pop;2005;92;75;67;-4;4;90;236;37;8;50
Come Home;OneRepublic;dance pop;2007;75;16;52;-12;10;16;262;95;3;50
Heavy;Anne-Marie;dance pop;2017;133;58;46;-5;11;50;173;28;8;50
Reality;Lost Frequencies;belgian edm;2016;122;64;73;-7;8;53;158;2;4;50
Angels;Robbie Williams;europop;1999;150;59;44;-7;10;25;266;15;3;50
"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack";José Feliciano;latin pop;2001;129;47;32;-8;22;19;284;52;5;50
King of Sorrow;Sade;british soul;2000;82;42;72;-10;7;38;293;38;4;50
Can I Get Your Number;Anne-Marie;dance pop;2018;103;83;72;-5;16;55;200;13;5;50
We All Fall In Love Sometimes;Coldplay;permanent wave;2018;91;8;37;-16;12;15;240;97;3;50
Read All About It, Pt. III;Emeli Sandé;dance pop;2012;98;44;63;-7;9;34;285;82;3;49
Босая;#2Маши;russian dance pop;2017;124;68;89;-5;55;67;203;17;15;49
Sky;Sonique;;2000;143;76;61;-7;15;73;267;8;3;49
Levels - Radio Edit;Avicii;big room;2016;126;89;58;-6;29;47;202;5;3;49
Broken Vow;Lara Fabian;french pop;2000;73;28;16;-10;12;14;315;96;4;49
Adagio;Lara Fabian;french pop;2000;129;39;33;-10;11;7;267;28;3;49
Always Somewhere;Scorpions;album rock;1979;114;37;51;-12;11;19;298;8;3;49
Твои глаза;LOBODA;russian dance pop;2016;122;76;70;-6;20;56;234;3;5;49
Bosco;Placebo;alternative rock;2013;176;49;37;-8;9;15;403;22;3;48
Insatiable;Darren Hayes;australian pop;2002;144;85;67;-5;8;85;310;10;5;48
Another Lonely Night;Adam Lambert;dance pop;2015;181;67;45;-6;7;12;226;6;7;48
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;dance pop;2015;86;73;60;-4;33;53;193;24;15;48
Kings And Queens Of Summer;Matstubs;bass trap;2017;110;71;81;-6;16;35;188;34;11;47
Solo (feat. Demi Lovato) - Acoustic;Clean Bandit;dance pop;2018;105;50;64;-6;21;64;225;78;3;47
Где ты, где я;Тимати;russian dance pop;2016;84;75;64;-6;5;69;283;29;7;47
Dragostea Din Tei;O-Zone;bubblegum dance;2002;130;97;81;-4;7;71;214;16;4;47
I Know;Irma;french pop;2011;100;49;75;-7;12;55;182;68;3;47
Stupid In Love;Rihanna;barbadian pop;2009;127;56;74;-5;10;48;241;63;3;47
Anastasia;Slash;hard rock;2012;101;94;44;-5;12;48;367;0;4;47
SuperSTAR;LOBODA;russian dance pop;2018;118;83;74;-4;9;44;195;9;14;47
Things We Lost In The Fire;Bastille;metropopolis;2013;134;92;59;-5;27;63;241;6;6;47
Забудешь;Artik & Asti;russian dance pop;2019;120;79;71;-6;56;69;210;23;12;46
Clown;Emeli Sandé;dance pop;2012;119;26;46;-8;11;23;221;92;4;46
Cold;Aqualung;piano rock;2011;105;13;26;-14;16;8;220;98;3;46
Hula Hoop;OMI;dance pop;2015;122;84;67;-5;30;57;205;3;4;46
Little Love;De Hofnar;deep house;2017;120;73;83;-7;13;33;210;5;5;46
Twice;Christina Aguilera;dance pop;2018;75;31;59;-5;8;32;242;92;4;46
You'll See;Madonna;dance pop;1995;90;55;60;-10;10;23;281;48;3;46
INSTADRAMA;LOBODA;russian dance pop;2018;115;83;69;-5;11;52;222;11;5;46
"""The Take Over, The Breaks Over""";Fall Out Boy;emo;2007;150;92;61;-3;8;67;214;1;5;45
Plane;Jason Mraz;acoustic pop;2005;120;45;61;-7;11;34;314;63;4;45
Turn to Stone;Ingrid Michaelson;acoustic pop;2009;111;18;37;-10;15;32;276;79;4;45
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;dance pop;2018;102;76;72;-4;44;77;250;41;5;45
Nothing On You (feat. Paulo Londra & Dave);Ed Sheeran;pop;2019;88;65;75;-6;17;84;201;33;22;45
Figure It Out;Jovani;lithuanian pop;2019;100;78;67;-4;16;48;217;14;3;44
С ней;Миша Марвин;russian dance pop;2018;77;68;54;-4;9;12;203;4;4;44
Hush Hush;The Pussycat Dolls;dance pop;2008;131;61;73;-6;34;50;228;18;5;44
Lacrymosa;Evanescence;alternative metal;2017;137;65;32;-6;11;33;223;76;6;44
A Million Voices;Полина Гагарина;eurovision;2015;76;66;43;-4;17;32;180;18;3;44
Can't Pretend;Tom Odell;neo mellow;2013;80;47;45;-9;12;29;218;28;3;44
Don't Leave Me Alone (feat. Anne-Marie);David Guetta;dance pop;2018;128;60;69;-8;11;54;184;17;5;43
October & April;The Rasmus;funk metal;2009;132;46;54;-7;7;28;233;41;3;43
Over The Love;Florence + The Machine;art pop;2013;140;46;48;-8;20;24;261;51;3;43
Exs And Ohs;The Nicol Kings;;2015;140;92;70;-6;35;49;261;1;4;43
Сопрано;Мот;russian dance;2017;105;67;65;-5;46;61;209;10;5;43
Мне не нужны;Artik & Asti;russian dance pop;2019;130;69;70;-6;18;34;231;49;4;42
When You Tell Me That You Love Me;Diana Ross;adult standards;1991;78;41;49;-12;13;21;251;4;3;42
Сколько лет;Мот;russian dance;2019;130;69;64;-4;34;45;223;27;3;42
Красное белое;#2Маши;russian dance pop;2018;120;56;84;-7;8;46;231;12;15;42
Who's loving you? (feat. Anastacia);Auryn;latin viral pop;2015;93;72;75;-4;16;74;219;3;3;42
Вахтерам;Бумбокс;russian hip hop;2006;90;82;67;-5;9;86;241;24;26;42
River;Ibeyi;cuban alternative;2015;154;29;65;-13;11;10;252;10;47;42
Lorelei;Scorpions;album rock;2010;132;52;49;-6;13;12;273;19;3;42
Драмы больше нет;Полина Гагарина;eurovision;2017;126;85;77;-4;30;80;194;10;4;42
Выше головы;Полина Гагарина;eurovision;2018;122;45;66;-6;12;13;238;57;4;42
Вдвоём (feat. Максим Фадеев);Наргиз;russian dance pop;2016;140;66;53;-5;11;34;213;2;3;42
No Me Sueltes;Daniel Santacruz;bachata;2014;124;87;76;-4;19;89;210;68;4;42
Rule The World - Radio Edit;Take That;boy band;2007;164;77;36;-4;35;35;238;4;3;41
Learning To Breathe;Switchfoot;ccm;2000;156;91;52;-4;30;50;275;0;3;41
Хлопья летят наверх;Feduk;russian hip hop;2018;138;17;63;-14;11;17;263;97;4;41
Beautiful Birds (feat. Birdy);Passenger;folk-pop;2016;86;18;32;-12;12;15;214;91;3;41
Между нами любовь;SEREBRO;russian dance pop;2017;96;84;88;-3;8;42;191;36;13;41
случайная;LOBODA;russian dance pop;2017;125;92;61;-5;13;51;233;6;7;41
Выхода нет;Сплин;classic russian rock;1998;85;82;58;-8;10;64;228;1;5;40
Don't Be So Shy - Filatov & Karas Remix;Imany;french indie pop;2016;120;81;77;-10;39;92;191;4;6;40
Altyn;Tatarka;russian hip hop;2016;120;57;85;-9;11;55;184;5;7;40
Мотылёк;Макс Корж;russian hip hop;2013;150;81;78;-4;12;9;237;56;46;40
Truth To Power;OneRepublic;dance pop;2017;146;37;36;-9;22;28;205;74;3;40
Maybe;Brainstorm;latvian indie;2003;78;73;66;-7;6;89;240;14;4;40
Humanity;Scorpions;album rock;2007;89;70;39;-4;7;35;327;1;4;40
Спектакль окончен;Полина Гагарина;eurovision;2013;128;96;63;-3;15;43;240;15;11;40
Fight Back with Love Tonight;Kush Kush;german dance;2017;105;61;63;-6;11;57;206;12;8;39
Пьяное солнце;ALEKSEEV;eurovision;2016;106;65;58;-6;25;32;217;16;3;39
Sweet Dreams;Beyoncé;dance pop;2008;122;83;69;-6;6;79;208;9;11;39
Open Up;Matt Simons;dutch pop;2019;81;71;63;-5;15;79;168;12;6;38
Sleep;Poets of the Fall;alternative metal;2005;164;33;38;-10;23;19;299;87;3;38
Молитва;Би-2;belarusian pop;2012;140;62;55;-6;15;21;338;18;3;38
Hollywood;Madonna;dance pop;2009;126;58;64;-8;7;55;262;5;3;38
Колыбельная;Полина Гагарина;eurovision;2018;160;72;38;-6;10;45;211;27;11;38
Домофон;TERNOVOY;russian dance;2018;160;56;63;-7;10;44;194;53;28;38
Как ты там;ALEKSEEV;eurovision;2019;113;66;62;-5;8;23;233;25;3;37
Ты Так Красива;Quest Pistols;russian pop;2013;136;53;66;-6;31;78;173;6;3;37
Confide in Me - Radio Mix;Kylie Minogue;australian dance;2019;103;74;57;-7;8;54;266;3;4;37
Жестокая любовь;Филипп Киркоров;classic russian pop;2002;120;64;58;-7;36;24;226;69;4;36
You're Not From Here;Lara Fabian;french pop;2000;131;33;34;-8;8;8;289;87;3;36
I Sing I Swim;Seabear;icelandic indie;2007;120;47;60;-8;8;35;220;80;3;36
No Degree of Separation - Eurovision Version;Francesca Michielin;italian arena pop;2016;150;78;29;-4;17;34;188;2;4;36
Chasing Stars;Rupert Pope;;2016;110;65;57;-7;11;10;209;24;3;36
Навсегда;ALEKSEEV;eurovision;2017;116;74;33;-6;11;36;226;22;4;36
Shape;Sugababes;bubblegum dance;2002;84;70;65;-7;10;72;250;13;9;36
Ангелы в танце;Полина Гагарина;eurovision;2019;114;77;75;-3;15;35;197;35;5;36
40 градусов;LOBODA;russian dance pop;2013;125;81;59;-4;10;40;267;17;4;36
Ненавижу;Миша Марвин;russian dance pop;2016;120;52;84;-6;65;22;186;1;4;35
Any Other World;MIKA;dance pop;2007;132;25;51;-12;12;27;259;86;3;35
Если ты меня не любишь;Егор Крид;russian hip hop;2017;96;68;79;-5;17;60;207;7;9;35
Her Name is Alice;Shinedown;alternative metal;2010;190;70;38;-5;11;15;219;2;4;35
Романс;Сплин;classic russian rock;2013;185;27;47;-14;11;43;151;89;3;35
В комнате цветных пелерин;Мария Чайковская;ukrainian pop;2015;85;13;64;-13;15;31;172;88;5;35
Серебро;Би-2;belarusian pop;2000;170;73;43;-4;7;30;277;12;3;35
After You;Louise Dowd;rebel blues;2016;106;50;25;-9;10;9;174;56;3;35
Всё решено;Elvira T;russian dance pop;2013;92;75;66;-6;12;71;217;54;4;34
Романс;Пицца;russian dance pop;2016;150;65;78;-5;10;71;233;49;17;34
Drop It Low;Kat Deluna;dance pop;2011;128;79;74;-5;7;28;226;0;4;34
Wicked;Veronica Vega;rap latina;2014;140;92;48;-3;36;82;248;5;31;34
к черту любовь;LOBODA;russian dance pop;2017;100;65;63;-6;8;58;212;2;5;34
Чувствую душой;ALEKSEEV;eurovision;2016;105;75;60;-7;44;46;220;8;3;33
Самба белого мотылька;Егор Крид;russian hip hop;2017;110;56;68;-7;8;27;186;10;3;33
What Time Is It;High School Musical Cast;dance pop;2007;122;95;65;-4;4;76;236;1;7;33
The Future Never Dies;Scorpions;album rock;2007;139;64;35;-4;12;12;244;8;3;33
Big Bad World;Kodaline;irish pop;2013;115;84;53;-6;38;34;262;0;3;33
San Francisco;Stu Larsen;indie anthem-folk;2014;84;42;48;-11;10;26;247;42;4;33
Confessa - Remastered;Adriano Celentano;classic italian pop;2018;120;41;59;-8;5;19;310;6;3;33
Home;Passenger;folk-pop;2016;149;51;33;-7;8;7;349;11;5;33
Красиво;Валерий Меладзе;classic russian pop;2002;120;88;60;-7;7;54;285;7;4;33
Орлы или вороны;Григорий Лепс;russian dance pop;2017;152;80;34;-5;21;38;207;4;7;33
Ты не такой;Юлианна Караулова;russian dance pop;2017;98;69;79;-6;6;70;197;10;5;32
Ее глаза (из Шекспира);Би-2;belarusian pop;2012;80;62;27;-8;18;20;293;12;3;32
Весна - Правильная Версия;5'nizza;classic russian rock;2015;91;23;64;-15;11;63;260;88;36;32
Такси;Elvira T;russian dance pop;2016;77;43;51;-8;10;70;249;76;6;32
Radio;Beyoncé;dance pop;2008;136;76;61;-6;8;55;219;13;8;32
Не молчи;Дима Билан;eurovision;2016;100;64;52;-6;34;31;233;13;4;31
Солнце;Ани Лорак;russian dance pop;2009;148;39;52;-14;17;19;214;43;3;31
Шопен;Елена Ваенга;bard;2006;127;28;45;-11;11;28;236;92;4;31
Я не отступлю;Бьянка;belarusian pop;2014;178;44;51;-7;10;63;191;27;6;31
Singularity;Red;alternative metal;2017;80;59;15;-8;41;10;311;4;4;31
When You Told Me You Loved Me;Jessica Simpson;dance pop;2001;112;35;65;-9;11;25;228;48;3;31
After the Fall;Kodaline;irish pop;2013;131;78;44;-5;11;8;216;0;3;31
Океанами стали;ALEKSEEV;eurovision;2016;118;70;63;-5;23;20;233;14;3;31
Maybe I Maybe You;Scorpions;album rock;2004;90;45;30;-7;11;16;210;57;3;31
Лети;LOBODA;russian dance pop;2018;135;70;54;-5;11;19;184;19;5;31
Нежность моя;Валерия;classic russian pop;2015;114;84;62;-6;6;43;218;32;4;30
Love Is All;Marc Anthony;latin;1999;116;61;56;-4;7;18;270;20;3;30
I'm Still Breathing;Katy Perry;dance pop;2008;180;69;46;-5;11;67;229;7;9;30
Мой рок-н-ролл;Би-2;belarusian pop;2015;124;33;51;-12;39;14;383;57;4;30
Sedmoj lepestok (Седьмой лепесток);Hi-Fi;classic russian pop;2009;126;94;64;-7;39;91;191;11;3;30
Ветер;Brainstorm;latvian indie;2006;202;74;37;-5;8;35;233;21;7;30
Собирай меня;Артем Пивоваров;russian dance pop;2015;80;59;45;-8;11;22;234;48;8;30
Siempre Te Amare;Daniel Santacruz;bachata;2014;128;81;81;-3;12;93;203;49;4;30
Вылечусь;Бьянка;belarusian pop;2017;100;33;79;-7;10;51;175;34;5;29
Я останусь;Егор Крид;russian hip hop;2015;99;61;69;-5;15;27;201;63;4;29
A Little Party Never Killed Nobody (All We Got);Fergie;dance pop;2013;130;64;75;-5;9;51;241;1;17;29
Prostit'sya (Проститься);Уматурман;russian pop;2008;130;53;58;-9;14;34;300;48;4;29
Lifelines - 2016 Remaster;a-ha;dance rock;2016;80;82;44;-7;36;42;256;0;4;28
Моё море;Noize MC;russian hip hop;2009;95;67;77;-6;11;48;147;63;4;28
Внеорбитные;Юлианна Караулова;russian dance pop;2017;81;56;41;-6;16;36;183;11;4;27
Babylon;OMI;dance pop;2015;140;90;75;-6;21;86;204;2;3;27
Start All Over Again;Dave Koz;jazz saxophone;2010;138;44;55;-8;15;9;270;5;3;27
Obsession - Radio Edit;Consoul Trainin;arab electronic;2017;122;83;70;-5;8;48;182;36;5;27
Рассыпая серебро;Максим Фадеев;russian dance pop;2018;164;88;54;-3;26;70;217;1;6;27
Red Blooded Woman;Kylie Minogue;australian dance;2019;139;78;70;-6;38;85;260;6;3;27
Двое не спят;Сплин;classic russian rock;2013;99;17;59;-15;11;43;204;93;4;26
Абсолютно всё (feat. Мот);Бьянка feat. Мот;;2016;154;60;43;-7;15;38;186;5;5;26
Притяженья больше нет;Валерий Меладзе;classic russian pop;2014;95;60;62;-7;10;36;272;18;3;26
Часы;Дима Билан;eurovision;2016;134;63;66;-6;9;68;180;37;3;25
Düm Tek Tek;Hadise;turkish pop;2009;115;97;75;-4;8;87;183;13;6;25
Mademoiselle Hyde;Lara Fabian;french pop;2010;126;49;47;-10;8;23;240;65;3;24
Забери меня;Мария Чайковская;ukrainian pop;2011;163;20;36;-10;11;10;215;94;4;24
Одно и то же;IOWA;belarusian pop;2016;125;42;37;-7;15;28;219;67;5;24
Ready to Go;Hurts;metropopolis;2017;102;92;63;-4;64;57;166;6;5;24
Скажи как мне жить;Интонация;;2014;164;71;70;-9;44;96;207;19;19;23
Нитью;Мария Чайковская;ukrainian pop;2015;79;12;49;-14;14;15;183;91;7;23
Sweet People;Alyosha;ukrainian pop;2017;120;41;63;-6;14;12;180;72;4;23
Океан и три реки;Валерий Меладзе;classic russian pop;2005;95;87;62;-5;37;71;221;12;7;23
My Redemption;Upstates;;2018;78;59;58;-9;11;43;173;61;6;22
Demain n'existe pas;Lara Fabian;french pop;2010;115;38;45;-11;18;9;276;62;3;22
Kеды;Бьянка;belarusian pop;2016;106;59;67;-4;12;30;180;80;3;22
This Pleasure Needs Pain (Unsympathy) - Radio Edit;Ådå;;2016;124;84;47;-5;24;13;178;38;9;22
Оркестр;Сплин;classic russian rock;2014;140;77;68;-6;27;80;252;9;3;21
Black Black Heart;David Usher;grunge pop;2010;90;26;63;-12;10;51;208;78;3;21
Tell Me Why;LaFee;german pop;2008;95;24;52;-11;11;24;269;79;3;20
Snow in December;Arilena Ara;;2017;127;47;46;-6;15;27;150;64;5;20
Falling;Trevor Daniel;alternative r&b;2018;127;43;78;-9;9;24;159;12;4;97
Memories;Maroon 5;pop;2019;91;32;76;-7;8;57;189;84;5;97
everything i wanted;Billie Eilish;electropop;2019;120;23;70;-14;11;24;245;90;10;96
bad guy;Billie Eilish;electropop;2019;135;43;70;-11;10;56;194;33;38;95
Someone You Loved;Lewis Capaldi;pop;2019;110;41;50;-6;11;45;182;75;3;93
Señorita;Shawn Mendes;canadian pop;2019;117;54;76;-6;9;75;191;4;3;92
Dance Monkey;Tones and I;australian pop;2019;98;59;82;-6;15;51;209;69;9;91
Trampoline (with ZAYN);SHAED;electropop;2019;127;46;62;-6;14;50;184;56;3;89
lovely (with Khalid);Billie Eilish;electropop;2018;115;30;35;-10;10;12;200;93;3;89
7 rings;Ariana Grande;dance pop;2019;140;32;78;-11;9;33;179;59;33;89
I Don't Care (with Justin Bieber);Ed Sheeran;pop;2019;102;68;80;-5;9;84;220;9;4;89
Beautiful People (feat. Khalid);Ed Sheeran;pop;2019;93;65;64;-8;8;55;198;12;19;88
Believer;Imagine Dragons;modern rock;2017;125;78;78;-4;8;67;204;6;13;87
Sucker;Jonas Brothers;boy band;2019;138;73;84;-5;11;95;181;4;6;87
Without Me;Halsey;dance pop;2018;136;49;75;-7;9;53;202;30;7;87
all the good girls go to hell;Billie Eilish;electropop;2019;185;44;73;-9;18;57;169;28;37;86
Sweet but Psycho;Ava Max;dance pop;2018;133;70;72;-5;17;63;187;7;5;86
thank u, next;Ariana Grande;dance pop;2019;107;65;72;-6;10;41;207;23;7;86
Perfect;Ed Sheeran;pop;2017;95;45;60;-6;11;17;263;16;2;86
Takeaway;The Chainsmokers;electropop;2019;100;51;53;-8;10;35;210;13;3;85
Calma - Remix;Pedro Capó;latin;2018;127;77;83;-4;14;76;238;32;5;85
Take What You Want (feat. Ozzy Osbourne & Travis Scott);Post Malone;dfw rap;2019;140;80;50;-3;15;27;230;9;5;85
Can We Kiss Forever?;Kina;pop;2018;110;13;52;-19;9;12;188;89;4;85
High Hopes;Panic! At The Disco;baroque pop;2018;82;90;58;-3;6;68;191;19;6;85
Let Me Down Slowly;Alec Benjamin;pop;2018;150;56;65;-6;12;48;169;74;3;85
Thunder;Imagine Dragons;modern rock;2017;168;82;61;-5;15;29;187;1;4;85
All of Me;John Legend;neo mellow;2013;120;26;42;-7;13;33;270;92;3;85
Shape of You;Ed Sheeran;pop;2017;96;65;83;-3;9;93;234;58;8;85
Lover;Taylor Swift;dance pop;2019;69;54;36;-8;12;45;221;49;9;84
ME! (feat. Brendon Urie of Panic! At The Disco);Taylor Swift;dance pop;2019;182;83;61;-4;12;73;193;3;6;84
Closer (feat. Halsey);The Chainsmokers;electropop;2016;95;52;75;-6;11;66;245;41;3;84
boyfriend (with Social House);Ariana Grande;dance pop;2019;190;80;40;-4;16;70;186;12;46;83
Africa;TOTO;album rock;1982;93;37;67;-18;5;73;296;26;3;83
I Like It;Cardi B;pop;2018;136;73;82;-4;37;65;253;10;13;83
Wake Me Up;Avicii;big room;2013;124;78;53;-6;16;64;247;0;5;83
Bad Liar;Imagine Dragons;modern rock;2018;178;64;38;-7;37;8;261;7;7;83
Post Malone (feat. RANI);Sam Feldt;edm;2019;107;64;59;-4;11;65;174;8;12;83
The Scientist;Coldplay;permanent wave;2002;146;44;56;-7;11;21;310;73;2;83
Havana (feat. Young Thug);Camila Cabello;dance pop;2018;105;52;77;-4;13;39;217;18;3;83
Be Alright;Dean Lewis;australian pop;2018;127;59;55;-6;8;44;196;70;4;83
no tears left to cry;Ariana Grande;dance pop;2018;122;71;70;-6;29;35;206;4;6;82
Taki Taki (with Selena Gomez, Ozuna & Cardi B);DJ Snake;electronic trap;2018;96;80;84;-4;6;62;213;16;23;82
Stressed Out;Twenty One Pilots;modern rock;2015;170;64;73;-6;6;65;202;5;14;82
Natural;Imagine Dragons;modern rock;2018;100;61;70;-6;8;22;189;22;4;82
Treat You Better;Shawn Mendes;canadian pop;2017;83;82;44;-4;11;75;188;11;34;82
Take on Me;a-ha;dance rock;1985;84;90;57;-8;9;88;225;2;5;82
2002;Anne-Marie;dance pop;2018;96;68;70;-3;14;60;187;4;12;82
FRIENDS;Marshmello;brostep;2018;95;88;63;-2;13;53;203;21;5;82
So Am I;Ava Max;dance pop;2019;130;66;68;-5;35;61;183;7;4;82
Something Just Like This;The Chainsmokers;electropop;2017;103;64;62;-7;16;45;247;5;3;82
Happier;Ed Sheeran;pop;2017;90;39;52;-7;14;24;208;54;3;82
Dancing On My Own;Calum Scott;pop;2018;113;17;68;-9;10;24;260;84;3;82
Shut Up and Dance;WALK THE MOON;indie pop;2014;128;87;58;-4;26;62;199;1;6;81
Attention;Charlie Puth;dance pop;2018;100;61;78;-5;13;80;209;11;5;81
Scared to Be Lonely;Martin Garrix;big room;2017;138;54;58;-8;26;20;221;9;6;81
Juice;Lizzo;escape room;2019;120;89;77;-3;40;84;195;1;10;81
Dusk Till Dawn - Radio Edit;ZAYN;dance pop;2017;180;44;26;-7;11;10;239;10;4;81
Uptown Funk;Mark Ronson;dance pop;2015;115;61;86;-7;3;93;270;1;8;81
Creep;Radiohead;alternative rock;1993;92;43;52;-10;13;10;239;1;4;81
Whatever It Takes;Imagine Dragons;modern rock;2017;135;66;67;-5;12;56;201;4;3;81
When I Was Your Man;Bruno Mars;pop;2012;73;28;61;-9;9;39;214;93;4;81
Yellow;Coldplay;permanent wave;2000;173;66;43;-7;23;28;267;0;3;81
"Fire On Fire - From ""Watership Down""";Sam Smith;pop;2018;115;41;58;-7;18;34;247;48;5;81
Ritual;Tiësto;big room;2019;115;73;65;-4;8;77;199;16;6;81
Silence;Marshmello;brostep;2017;142;76;52;-3;17;29;181;26;9;80
Look Back at It;A Boogie Wit da Hoodie;melodic rap;2018;96;59;79;-5;15;54;179;41;4;80
Sorry;Justin Bieber;canadian pop;2015;100;76;65;-4;30;41;201;8;5;80
Sorry Not Sorry;Demi Lovato;dance pop;2017;144;64;71;-7;26;89;204;2;23;80
Sweater Weather;The Neighbourhood;modern alternative rock;2013;124;81;61;-3;10;40;240;5;3;80
Heaven;Avicii;big room;2019;122;87;59;-6;14;52;277;7;3;80
Without You (feat. Sandro Cavazza);Avicii;big room;2017;134;86;66;-5;5;30;182;0;4;80
Cake By The Ocean;DNCE;dance pop;2016;119;75;77;-5;4;90;219;15;5;80
i hate u, i love u (feat. olivia o'brien);gnash;pop;2016;93;28;49;-13;10;18;251;69;30;80
Just Give Me a Reason (feat. Nate Ruess);P!nk;dance pop;2012;95;55;78;-7;13;44;243;35;5;80
Sugar;Maroon 5;pop;2015;120;79;75;-7;9;88;235;6;3;80
Don't Let Me Down;The Chainsmokers;electropop;2016;160;87;53;-5;14;42;208;16;17;80
So Close;NOTD;dance pop;2018;125;87;70;-6;10;76;190;12;7;79
One Last Time;Ariana Grande;dance pop;2014;125;59;63;-5;10;10;197;9;3;79
Centuries;Fall Out Boy;emo;2015;176;86;39;-3;10;56;228;0;7;79
I'm a Mess;Bebe Rexha;dance pop;2018;97;69;63;-6;7;22;196;0;3;79
A Thousand Years;Christina Perri;dance pop;2011;139;41;42;-7;11;16;285;31;3;79
This Is What You Came For;Calvin Harris;dance pop;2016;124;93;63;-3;15;47;222;20;3;79
Despacito;Luis Fonsi;latin;2019;178;80;66;-5;7;84;229;20;15;79
Hips Don't Lie (feat. Wyclef Jean);Shakira;colombian pop;2005;100;82;78;-6;41;76;218;28;7;79
Otherside;Red Hot Chili Peppers;alternative rock;1999;123;80;46;-3;8;51;255;0;6;78
Kiss and Make Up;Dua Lipa;dance pop;2018;100;73;68;-4;30;64;189;7;14;78
Into You;Ariana Grande;dance pop;2016;108;73;62;-6;14;37;244;2;11;78
Summer;Calvin Harris;dance pop;2014;128;86;60;-4;14;74;223;2;3;78
Waiting For Love;Avicii;big room;2015;128;74;58;-4;20;61;231;31;5;78
Someone Like You;Adele;british soul;2011;135;33;56;-8;10;28;285;89;3;78
Toxic;Britney Spears;dance pop;2003;143;84;77;-4;24;92;199;2;11;78
Bad Romance;Lady Gaga;dance pop;2009;119;92;70;-4;8;71;295;0;4;78
Million Reasons;Lady Gaga;dance pop;2016;130;42;67;-8;11;15;205;49;4;78
Viva La Vida;Coldplay;permanent wave;2008;138;62;49;-7;11;42;242;9;3;78
Love Me Less (feat. Quinn XCII);MAX;dance pop;2019;145;86;73;-2;32;77;178;8;9;78
American Boy;Estelle;r&b;2008;118;73;73;-3;7;51;285;17;33;78
Supermarket Flowers;Ed Sheeran;pop;2017;90;24;59;-11;9;26;221;91;4;78
Castle on the Hill;Ed Sheeran;pop;2017;135;83;46;-5;14;47;261;2;10;78
Cradles;Sub Urban;;2019;79;59;53;-2;18;63;210;26;33;77
Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors);Lil Wayne;hip hop;2016;169;79;50;-4;65;74;243;26;32;77
Mr. Brightside;The Killers;modern rock;2004;148;92;36;-4;10;23;223;0;8;77
Stone Cold;Demi Lovato;dance pop;2015;140;45;42;-8;10;36;191;54;4;77
Roar;Katy Perry;dance pop;2013;180;77;55;-5;35;46;224;0;4;77
Dark Horse;Katy Perry;dance pop;2013;132;59;65;-6;17;35;216;0;5;77
Human;Rag'n'Bone Man;neo soul;2017;75;71;60;-4;17;55;200;39;30;77
Say Something;A Great Big World;neo mellow;2014;141;15;41;-9;9;8;229;86;4;77
Halo;Beyoncé;dance pop;2008;80;72;51;-6;6;47;262;27;6;77
A Sky Full of Stars;Coldplay;permanent wave;2014;125;64;55;-7;22;15;268;1;3;77
Paradise;Coldplay;permanent wave;2011;140;59;45;-7;8;20;279;5;3;77
Symphony (feat. Zara Larsson);Clean Bandit;dance pop;2017;123;63;71;-5;14;46;212;26;6;77
What's Up?;4 Non Blondes;new wave pop;1992;134;56;56;-10;11;45;296;16;3;77
Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;dance pop;2017;98;82;70;-4;19;78;216;8;11;76
Slow Hands;Niall Horan;dance pop;2017;86;43;74;-7;6;85;188;1;5;76
Lie To Me (feat. Julia Michaels);5 Seconds of Summer;boy band;2018;160;52;61;-5;11;77;150;1;3;76
Naked;James Arthur;pop;2017;102;61;53;-7;6;24;234;10;6;76
Shout Out to My Ex;Little Mix;dance pop;2017;126;75;77;-4;11;80;246;2;9;76
