title;artist;top genre;year;bpm;nrgy;dnce;dB;live;val;dur;acous;spch;pop
Hello;Adele;british soul;2016;158;45;48;-6;9;29;295;34;3;72
Because of You;Kelly Clarkson;dance pop;2004;140;58;58;-5;12;14;219;25;3;72
Payphone;Maroon 5;pop;2012;110;76;74;-5;37;52;231;1;4;72
Fetish (feat. Gucci Mane);Selena Gomez;dance pop;2017;123;62;71;-4;6;27;186;2;6;71
Wherever You Will Go;The Calling;neo mellow;2001;112;72;56;-5;12;37;209;4;3;71
Lonely Day;System Of A Down;alternative metal;2005;113;80;47;-3;13;22;168;36;3;71
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson);Felix Jaehn;dance pop;2018;118;57;78;-7;7;48;186;67;3;71
Numb / Encore;JAY-Z;east coast hip hop;2004;107;80;69;-4;55;80;205;6;16;71
All I Want;Kodaline;irish pop;2013;86;41;21;-10;8;16;306;17;4;71
Feel;Robbie Williams;europop;2002;98;73;60;-7;14;29;264;1;3;71
Dear Future Husband;Meghan Trainor;dance pop;2015;79;78;66;-5;32;83;184;38;19;71
Me Too;Meghan Trainor;dance pop;2017;124;69;93;-6;48;84;181;10;10;71
Still Loving You;Scorpions;album rock;2011;104;61;28;-5;10;8;403;0;3;71
Beautiful;Christina Aguilera;dance pop;2002;76;57;46;-4;11;10;239;58;3;71
Whenever, Wherever;Shakira;colombian pop;2001;108;83;79;-5;20;87;196;24;4;71
Let You Love Me;Rita Ora;dance pop;2018;96;85;48;-3;8;45;191;28;28;71
Can't Get You out of My Head;Kylie Minogue;australian dance;2001;126;56;77;-8;12;96;231;3;3;71
Hung Up;Madonna;dance pop;2005;125;65;65;-8;7;41;338;0;5;70
Mama (feat. Ellie Goulding);Clean Bandit;dance pop;2018;102;71;74;-6;27;61;190;23;4;70
Marvin Gaye;Charlie Puth;dance pop;2015;110;62;80;-5;35;82;190;42;6;70
I Don’t Wanna Live Forever (Fifty Shades Darker);ZAYN;dance pop;2017;118;44;73;-8;21;10;246;6;6;70
International Love;Pitbull;dance pop;2011;120;86;67;-3;34;65;227;1;5;70
All About That Bass;Meghan Trainor;dance pop;2015;134;89;81;-4;12;96;188;6;5;70
Tenerife Sea;Ed Sheeran;pop;2014;122;35;53;-10;11;36;241;70;4;70
Weak;AJR;modern rock;2017;124;64;67;-5;19;70;201;12;5;70
Good Life;OneRepublic;dance pop;2009;95;69;63;-8;13;65;253;8;5;70
Apologize;OneRepublic;dance pop;2007;118;74;59;-6;10;50;208;36;3;70
I Need A Doctor;Dr. Dre;g funk;2011;156;95;59;-5;31;40;284;9;45;70
Unfaithful;Rihanna;barbadian pop;2006;144;39;59;-9;23;35;227;84;3;70
The Heart Wants What It Wants;Selena Gomez;dance pop;2014;83;79;62;-5;14;62;227;5;4;69
Let's Get Loud;Jennifer Lopez;dance pop;1999;131;94;82;-5;35;91;239;14;6;69
Familiar;Liam Payne;dance pop;2018;93;81;64;-5;8;91;197;2;33;69
We Don't Talk Anymore;Charlie Puth;dance pop;2016;100;56;73;-8;18;35;218;62;13;69
Survivor;Destiny's Child;dance pop;2001;161;91;51;-2;78;62;254;6;41;69
Hall of Fame;The Script;celtic rock;2012;85;87;42;-4;12;63;203;7;6;69
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")";P!nk;dance pop;2016;163;70;63;-6;11;50;215;1;15;69
Nothing Else Matters;Metallica;hard rock;1991;142;36;56;-11;8;17;389;5;3;69
Send Me An Angel;Scorpions;album rock;1990;81;42;15;-12;21;17;273;43;3;69
Gimme More;Britney Spears;dance pop;2007;113;84;79;-3;7;38;251;25;3;69
Work Bitch;Britney Spears;dance pop;2013;128;82;63;-7;7;85;248;16;16;69
The Cure;Lady Gaga;dance pop;2017;100;51;70;-5;9;52;211;8;3;69
Poker Face;Lady Gaga;dance pop;2008;119;81;85;-5;12;78;237;12;8;69
Single Ladies (Put a Ring on It);Beyoncé;dance pop;2008;193;58;43;-5;19;27;193;4;30;69
Ain't My Fault;Zara Larsson;dance pop;2017;141;78;58;-5;28;36;224;1;3;69
No Matter What;Calum Scott;pop;2018;135;30;50;-8;10;27;237;90;3;69
Moves Like Jagger - Studio Recording From The Voice Performance;Maroon 5;pop;2010;128;76;72;-4;31;62;201;1;5;69
WTF (feat. Amber Van Day);HUGEL;deep house;2018;124;74;81;-5;70;87;161;6;5;69
Somebody Told Me;The Killers;modern rock;2004;138;99;51;-3;12;65;197;0;9;69
Barcelona;Ed Sheeran;pop;2017;100;76;75;-4;15;68;191;45;19;69
Gold;Kiiara;dance pop;2016;113;41;60;-9;13;41;226;62;34;68
Everglow;Coldplay;permanent wave;2015;146;45;54;-9;11;14;283;46;3;68
Love Me or Leave Me;Little Mix;dance pop;2015;67;37;48;-6;9;37;206;60;3;68
Dog Days Are Over;Florence + The Machine;art pop;2009;150;81;49;-5;12;25;252;4;8;68
Dernière danse;Indila;francoton;2014;115;45;67;-8;7;33;213;18;5;68
Awake and Alive;Skillet;alternative metal;2009;160;94;43;-3;49;57;209;4;6;68
NO;Meghan Trainor;dance pop;2017;92;80;56;-4;74;65;214;1;22;68
Need You Now;Lady Antebellum;contemporary country;2010;108;62;59;-6;20;23;278;9;3;68
Writing's On The Wall;Sam Smith;pop;2015;81;30;26;-8;9;9;279;77;3;68
S&M;Rihanna;barbadian pop;2010;128;68;77;-5;10;83;244;1;4;67
Habits (Stay High);Tove Lo;dance pop;2014;110;65;73;-4;8;35;209;7;3;67
All The Things She Said;t.A.T.u.;dance pop;2002;90;83;60;-6;11;38;214;4;4;67
Where Have You Been;Rihanna;barbadian pop;2011;128;85;72;-6;22;44;243;0;9;67
House of Memories;Panic! At The Disco;baroque pop;2016;110;82;51;-5;5;51;209;0;3;67
Here's to Never Growing Up;Avril Lavigne;canadian pop;2013;165;87;48;-3;41;74;214;1;9;67
In the Shadows;The Rasmus;funk metal;2003;106;80;60;-4;48;75;258;0;3;67
Don't Speak;No Doubt;alternative rock;1995;76;71;52;-7;18;54;264;25;4;67
She's The One;Robbie Williams;europop;1998;167;61;24;-8;22;33;258;66;3;67
Runnin' (Lose It All);Naughty Boy;tropical house;2015;139;85;32;-6;48;8;213;1;8;67
Fighter;Christina Aguilera;dance pop;2002;189;92;44;-1;55;45;246;24;20;67
Heartbeat Song;Kelly Clarkson;dance pop;2015;149;80;49;-4;6;48;199;1;5;67
Shake It Off;Taylor Swift;dance pop;2014;160;79;65;-5;15;94;219;6;17;67
D.A.N.C.E;Justice;alternative dance;2007;113;96;61;-5;82;50;242;3;28;66
It's Gonna Be Me;*NSYNC;boy band;2000;165;87;64;-5;4;91;192;4;7;66
Only Girl (In The World);Rihanna;barbadian pop;2010;126;72;79;-4;6;60;236;10;4;66
Dying in LA;Panic! At The Disco;baroque pop;2018;126;35;35;-5;7;32;229;88;3;66
Let's Hurt Tonight;OneRepublic;dance pop;2016;62;71;36;-5;32;27;195;33;4;66
Truth Hurts;Lizzo;escape room;2019;158;62;72;-3;12;41;173;11;11;66
The Days;Avicii;big room;2014;127;72;59;-3;14;53;278;4;4;66
Brooklyn Baby;Lana Del Rey;art pop;2014;108;66;40;-7;11;9;352;54;4;66
Come Undone;Duran Duran;dance rock;1993;174;79;54;-8;8;71;257;4;5;66
High By The Beach;Lana Del Rey;art pop;2015;132;49;54;-11;12;10;258;24;3;66
It Will Rain;Bruno Mars;pop;2011;150;84;58;-7;8;48;258;34;5;66
Hurt;Christina Aguilera;dance pop;2006;149;30;33;-7;11;14;243;78;3;66
Somewhere Only We Know;Keane;neo mellow;2004;172;66;45;-4;8;37;236;8;3;66
Stronger (What Doesn't Kill You);Kelly Clarkson;dance pop;2011;116;94;56;-4;11;68;222;5;5;66
Baby (feat. MARINA & Luis Fonsi);Clean Bandit;dance pop;2018;117;74;76;-5;10;33;205;36;4;66
Not Your Barbie Girl;Ava Max;dance pop;2018;120;64;75;-4;3;35;187;10;5;66
Say My Name;David Guetta;dance pop;2018;95;66;70;-5;19;79;199;14;12;66
Sweet Little Lies;bülow;dance pop;2019;160;73;65;-4;17;69;175;23;14;65
I'd Love To Change The World - Matstubs Remix;Jetta;metropopolis;2015;140;80;48;-5;6;20;190;7;13;65
Crazy in Love;Sofia Karlberg;viral pop;2014;120;50;54;-9;16;32;190;52;5;65
Sex;Cheat Codes;dance pop;2016;102;69;51;-6;14;21;228;0;17;65
Never Be the Same;Camila Cabello;dance pop;2017;130;71;64;-4;12;26;227;14;7;65
People Help the People;Birdy;neo mellow;2011;73;31;41;-9;9;15;256;78;3;65
Everytime We Touch;Cascada;bubblegum dance;2006;142;97;64;-5;41;50;196;0;5;65
Habits (Stay High) - Hippie Sabotage Remix;Tove Lo;dance pop;2014;121;69;74;-8;9;7;259;0;4;65
Burn;Ellie Goulding;dance pop;2013;87;78;56;-5;11;33;231;31;4;65
Hot N Cold;Katy Perry;dance pop;2008;132;84;71;-4;7;86;220;0;4;65
Cheerleader - Felix Jaehn Remix Radio Edit;OMI;dance pop;2015;118;68;78;-6;14;59;181;14;3;65
Whataya Want from Me;Adam Lambert;dance pop;2009;186;68;44;-5;6;45;227;1;5;65
Don't Wanna Know (feat. Kendrick Lamar);Maroon 5;pop;2018;100;61;78;-6;10;42;214;34;7;65
Photograph;Ed Sheeran;pop;2013;108;38;61;-10;10;20;259;61;5;65
Troublemaker (feat. Flo Rida);Olly Murs;dance pop;2011;106;86;76;-4;15;97;185;2;7;64
